category,subcategory,course_id,course_name,question,answer
Course Data,UG,UG-4FAAA8,B.Tech Mechanical Engineering,What is the course id of the B.Tech Mechanical Engineering course?,The course id for B.Tech Mechanical Engineering is UG-4FAAA8.
Course Data,UG,UG-4FAAA8,B.Tech Mechanical Engineering,Who is the course instructor for the B.Tech Mechanical Engineering course?,The B.Tech Mechanical Engineering course is taught by Dr. R. Gupta.
Course Data,UG,UG-4FAAA8,B.Tech Mechanical Engineering,"The course B.Tech Mechanical Engineering comes under which type: UG, Masters, or PhD?",B.Tech Mechanical Engineering is a UG level course.
Admission Data,UG,UG-4FAAA8,B.Tech Mechanical Engineering,How do I apply for the B.Tech Mechanical Engineering course?,"To apply for B.Tech Mechanical Engineering, fill the online application form, upload required documents, and pay the application fee. Further steps may include interview or entrance test."
Course Data,UG,UG-4FAAA8,B.Tech Mechanical Engineering,Is the B.Tech Mechanical Engineering course offered full-time or part-time?,The B.Tech Mechanical Engineering is typically offered full-time; part-time options depend on department policy.
Admission Data,UG,UG-64E1CE,B.Tech Civil Engineering,What documents are required to apply for the B.Tech Civil Engineering course?,Documents required: 10th and 12th mark sheets; Degree certificates (if applicable); Transcripts; Passport-size photos; Valid ID proof (Aadhaar/Passport).
Fees Data,UG,UG-64E1CE,B.Tech Civil Engineering,What is the fee for the B.Tech Civil Engineering course?,The fee for B.Tech Civil Engineering is GBP 18033 per year.
Course Data,UG,UG-64E1CE,B.Tech Civil Engineering,What is the start date and end date for the B.Tech Civil Engineering course?,The B.Tech Civil Engineering starts on 2024-07-01 and ends on 2027-07-01.
Course Data,UG,UG-64E1CE,B.Tech Civil Engineering,What are the modules present in the B.Tech Civil Engineering course?,Modules: Structural Analysis; Geotechnical Engineering; Construction Management; Hydraulics; Surveying.
Course Data,UG,UG-64E1CE,B.Tech Civil Engineering,What is the course id of the B.Tech Civil Engineering course?,The course id for B.Tech Civil Engineering is UG-64E1CE.
Course Data,UG,UG-64E1CE,B.Tech Civil Engineering,Who is the course instructor for the B.Tech Civil Engineering course?,The B.Tech Civil Engineering course is taught by Dr. T. Mehta.
Course Data,UG,UG-64E1CE,B.Tech Civil Engineering,"The course B.Tech Civil Engineering comes under which type: UG, Masters, or PhD?",B.Tech Civil Engineering is a UG level course.
Admission Data,UG,UG-64E1CE,B.Tech Civil Engineering,How do I apply for the B.Tech Civil Engineering course?,"To apply for B.Tech Civil Engineering, fill the online application form, upload required documents, and pay the application fee. Further steps may include interview or entrance test."
Course Data,UG,UG-64E1CE,B.Tech Civil Engineering,Is the B.Tech Civil Engineering course offered full-time or part-time?,The B.Tech Civil Engineering is typically offered full-time; part-time options depend on department policy.
Admission Data,UG,UG-3730B6,B.Sc Computer Science,What documents are required to apply for the B.Sc Computer Science course?,Documents required: 10th and 12th mark sheets; Degree certificates (if applicable); Transcripts; Passport-size photos; Valid ID proof (Aadhaar/Passport).
Fees Data,UG,UG-3730B6,B.Sc Computer Science,What is the fee for the B.Sc Computer Science course?,The fee for B.Sc Computer Science is GBP 17064 per year.
Course Data,UG,UG-3730B6,B.Sc Computer Science,What is the start date and end date for the B.Sc Computer Science course?,The B.Sc Computer Science starts on 2024-07-01 and ends on 2027-07-01.
Course Data,UG,UG-3730B6,B.Sc Computer Science,What are the modules present in the B.Sc Computer Science course?,Modules: Programming Fundamentals; Data Structures and Algorithms; Databases; Operating Systems; Computer Networks; Software Engineering.
Course Data,UG,UG-3730B6,B.Sc Computer Science,What is the course id of the B.Sc Computer Science course?,The course id for B.Sc Computer Science is UG-3730B6.
Course Data,UG,UG-3730B6,B.Sc Computer Science,Who is the course instructor for the B.Sc Computer Science course?,The B.Sc Computer Science course is taught by Prof. S. Sharma.
Course Data,UG,UG-3730B6,B.Sc Computer Science,"The course B.Sc Computer Science comes under which type: UG, Masters, or PhD?",B.Sc Computer Science is a UG level course.
Admission Data,UG,UG-3730B6,B.Sc Computer Science,How do I apply for the B.Sc Computer Science course?,"To apply for B.Sc Computer Science, fill the online application form, upload required documents, and pay the application fee. Further steps may include interview or entrance test."
Course Data,UG,UG-3730B6,B.Sc Computer Science,Is the B.Sc Computer Science course offered full-time or part-time?,The B.Sc Computer Science is typically offered full-time; part-time options depend on department policy.
Admission Data,UG,UG-281B47,B.Sc Biotechnology,What documents are required to apply for the B.Sc Biotechnology course?,Documents required: 10th and 12th mark sheets; Degree certificates (if applicable); Transcripts; Passport-size photos; Valid ID proof (Aadhaar/Passport).
Fees Data,UG,UG-281B47,B.Sc Biotechnology,What is the fee for the B.Sc Biotechnology course?,The fee for B.Sc Biotechnology is GBP 13791 per year.
Course Data,UG,UG-281B47,B.Sc Biotechnology,What is the start date and end date for the B.Sc Biotechnology course?,The B.Sc Biotechnology starts on 2024-07-01 and ends on 2027-07-01.
Course Data,UG,UG-281B47,B.Sc Biotechnology,What are the modules present in the B.Sc Biotechnology course?,Modules: Molecular Biology; Genetics; Bioprocess Engineering; Bioinformatics; Cell Biology.
Course Data,UG,UG-281B47,B.Sc Biotechnology,What is the course id of the B.Sc Biotechnology course?,The course id for B.Sc Biotechnology is UG-281B47.
Course Data,UG,UG-281B47,B.Sc Biotechnology,Who is the course instructor for the B.Sc Biotechnology course?,The B.Sc Biotechnology course is taught by Prof. J. Das.
Course Data,UG,UG-281B47,B.Sc Biotechnology,"The course B.Sc Biotechnology comes under which type: UG, Masters, or PhD?",B.Sc Biotechnology is a UG level course.
Admission Data,UG,UG-281B47,B.Sc Biotechnology,How do I apply for the B.Sc Biotechnology course?,"To apply for B.Sc Biotechnology, fill the online application form, upload required documents, and pay the application fee. Further steps may include interview or entrance test."
Course Data,UG,UG-281B47,B.Sc Biotechnology,Is the B.Sc Biotechnology course offered full-time or part-time?,The B.Sc Biotechnology is typically offered full-time; part-time options depend on department policy.
Admission Data,UG,UG-E362AA,BBA Business Administration,What documents are required to apply for the BBA Business Administration course?,Documents required: 10th and 12th mark sheets; Degree certificates (if applicable); Transcripts; Passport-size photos; Valid ID proof (Aadhaar/Passport).
Fees Data,UG,UG-E362AA,BBA Business Administration,What is the fee for the BBA Business Administration course?,The fee for BBA Business Administration is GBP 13628 per year.
Course Data,UG,UG-E362AA,BBA Business Administration,What is the start date and end date for the BBA Business Administration course?,The BBA Business Administration starts on 2024-09-15 and ends on 2027-09-15.
Course Data,UG,UG-E362AA,BBA Business Administration,What are the modules present in the BBA Business Administration course?,Modules: Introduction; Core Concepts; Electives; Project Work; Seminar.
Course Data,UG,UG-E362AA,BBA Business Administration,What is the course id of the BBA Business Administration course?,The course id for BBA Business Administration is UG-E362AA.
Course Data,UG,UG-E362AA,BBA Business Administration,Who is the course instructor for the BBA Business Administration course?,The BBA Business Administration course is taught by Prof. M. Singh.
Course Data,UG,UG-E362AA,BBA Business Administration,"The course BBA Business Administration comes under which type: UG, Masters, or PhD?",BBA Business Administration is a UG level course.
Admission Data,UG,UG-E362AA,BBA Business Administration,How do I apply for the BBA Business Administration course?,"To apply for BBA Business Administration, fill the online application form, upload required documents, and pay the application fee. Further steps may include interview or entrance test."
Course Data,UG,UG-E362AA,BBA Business Administration,Is the BBA Business Administration course offered full-time or part-time?,The BBA Business Administration is typically offered full-time; part-time options depend on department policy.
Admission Data,UG,UG-A965D8,B.Sc Marine Biology,What documents are required to apply for the B.Sc Marine Biology course?,Documents required: 10th and 12th mark sheets; Degree certificates (if applicable); Transcripts; Passport-size photos; Valid ID proof (Aadhaar/Passport).
Fees Data,UG,UG-A965D8,B.Sc Marine Biology,What is the fee for the B.Sc Marine Biology course?,The fee for B.Sc Marine Biology is GBP 15679 per year.
Course Data,UG,UG-A965D8,B.Sc Marine Biology,What is the start date and end date for the B.Sc Marine Biology course?,The B.Sc Marine Biology starts on 2024-09-15 and ends on 2027-09-15.
Course Data,UG,UG-A965D8,B.Sc Marine Biology,What are the modules present in the B.Sc Marine Biology course?,Modules: Marine Ecology; Oceanography; Marine Conservation; Fisheries Science; Naval Architecture.
Course Data,UG,UG-A965D8,B.Sc Marine Biology,What is the course id of the B.Sc Marine Biology course?,The course id for B.Sc Marine Biology is UG-A965D8.
Course Data,UG,UG-A965D8,B.Sc Marine Biology,Who is the course instructor for the B.Sc Marine Biology course?,The B.Sc Marine Biology course is taught by Dr. Y. Zhao.
Course Data,UG,UG-A965D8,B.Sc Marine Biology,"The course B.Sc Marine Biology comes under which type: UG, Masters, or PhD?",B.Sc Marine Biology is a UG level course.
Admission Data,UG,UG-A965D8,B.Sc Marine Biology,How do I apply for the B.Sc Marine Biology course?,"To apply for B.Sc Marine Biology, fill the online application form, upload required documents, and pay the application fee. Further steps may include interview or entrance test."
Course Data,UG,UG-A965D8,B.Sc Marine Biology,Is the B.Sc Marine Biology course offered full-time or part-time?,The B.Sc Marine Biology is typically offered full-time; part-time options depend on department policy.
Admission Data,UG,UG-2BE980,B.Com Finance,What documents are required to apply for the B.Com Finance course?,Documents required: 10th and 12th mark sheets; Degree certificates (if applicable); Transcripts; Passport-size photos; Valid ID proof (Aadhaar/Passport).
Fees Data,UG,UG-2BE980,B.Com Finance,What is the fee for the B.Com Finance course?,The fee for B.Com Finance is GBP 19121 per year.
Course Data,UG,UG-2BE980,B.Com Finance,What is the start date and end date for the B.Com Finance course?,The B.Com Finance starts on 2024-07-01 and ends on 2027-07-01.
Course Data,UG,UG-2BE980,B.Com Finance,What are the modules present in the B.Com Finance course?,Modules: Introduction; Core Concepts; Electives; Project Work; Seminar.
Course Data,UG,UG-2BE980,B.Com Finance,What is the course id of the B.Com Finance course?,The course id for B.Com Finance is UG-2BE980.
Course Data,UG,UG-2BE980,B.Com Finance,Who is the course instructor for the B.Com Finance course?,The B.Com Finance course is taught by Prof. C. Nair.
Course Data,UG,UG-2BE980,B.Com Finance,"The course B.Com Finance comes under which type: UG, Masters, or PhD?",B.Com Finance is a UG level course.
Admission Data,UG,UG-2BE980,B.Com Finance,How do I apply for the B.Com Finance course?,"To apply for B.Com Finance, fill the online application form, upload required documents, and pay the application fee. Further steps may include interview or entrance test."
Course Data,UG,UG-2BE980,B.Com Finance,Is the B.Com Finance course offered full-time or part-time?,The B.Com Finance is typically offered full-time; part-time options depend on department policy.
Admission Data,UG,UG-C216D3,B.A Economics,What documents are required to apply for the B.A Economics course?,Documents required: 10th and 12th mark sheets; Degree certificates (if applicable); Transcripts; Passport-size photos; Valid ID proof (Aadhaar/Passport).
Fees Data,UG,UG-C216D3,B.A Economics,What is the fee for the B.A Economics course?,The fee for B.A Economics is GBP 15462 per year.
Course Data,UG,UG-C216D3,B.A Economics,What is the start date and end date for the B.A Economics course?,The B.A Economics starts on 2024-08-15 and ends on 2027-08-15.
Course Data,UG,UG-C216D3,B.A Economics,What are the modules present in the B.A Economics course?,Modules: Introduction; Core Concepts; Electives; Project Work; Seminar.
Course Data,UG,UG-C216D3,B.A Economics,What is the course id of the B.A Economics course?,The course id for B.A Economics is UG-C216D3.
Course Data,UG,UG-C216D3,B.A Economics,Who is the course instructor for the B.A Economics course?,The B.A Economics course is taught by Dr. R. Gupta.
Course Data,UG,UG-C216D3,B.A Economics,"The course B.A Economics comes under which type: UG, Masters, or PhD?",B.A Economics is a UG level course.
Admission Data,UG,UG-C216D3,B.A Economics,How do I apply for the B.A Economics course?,"To apply for B.A Economics, fill the online application form, upload required documents, and pay the application fee. Further steps may include interview or entrance test."
Course Data,UG,UG-C216D3,B.A Economics,Is the B.A Economics course offered full-time or part-time?,The B.A Economics is typically offered full-time; part-time options depend on department policy.
Admission Data,UG,UG-632777,B.Des Product Design,What documents are required to apply for the B.Des Product Design course?,Documents required: 10th and 12th mark sheets; Degree certificates (if applicable); Transcripts; Passport-size photos; Valid ID proof (Aadhaar/Passport).
Fees Data,UG,UG-632777,B.Des Product Design,What is the fee for the B.Des Product Design course?,The fee for B.Des Product Design is GBP 13763 per year.
Course Data,UG,UG-632777,B.Des Product Design,What is the start date and end date for the B.Des Product Design course?,The B.Des Product Design starts on 2024-08-01 and ends on 2027-08-01.
Course Data,UG,UG-632777,B.Des Product Design,What are the modules present in the B.Des Product Design course?,Modules: Design Theory; Materials and Manufacturing; CAD; Human-Centred Design; Product Development.
Course Data,UG,UG-632777,B.Des Product Design,What is the course id of the B.Des Product Design course?,The course id for B.Des Product Design is UG-632777.
Course Data,UG,UG-632777,B.Des Product Design,Who is the course instructor for the B.Des Product Design course?,The B.Des Product Design course is taught by Prof. S. Sharma.
Course Data,UG,UG-632777,B.Des Product Design,"The course B.Des Product Design comes under which type: UG, Masters, or PhD?",B.Des Product Design is a UG level course.
Admission Data,UG,UG-632777,B.Des Product Design,How do I apply for the B.Des Product Design course?,"To apply for B.Des Product Design, fill the online application form, upload required documents, and pay the application fee. Further steps may include interview or entrance test."
Course Data,UG,UG-632777,B.Des Product Design,Is the B.Des Product Design course offered full-time or part-time?,The B.Des Product Design is typically offered full-time; part-time options depend on department policy.
Admission Data,UG,UG-8E17D7,B.Arch Architecture,What documents are required to apply for the B.Arch Architecture course?,Documents required: 10th and 12th mark sheets; Degree certificates (if applicable); Transcripts; Passport-size photos; Valid ID proof (Aadhaar/Passport).
Fees Data,UG,UG-8E17D7,B.Arch Architecture,What is the fee for the B.Arch Architecture course?,The fee for B.Arch Architecture is GBP 15112 per year.
Course Data,UG,UG-8E17D7,B.Arch Architecture,What is the start date and end date for the B.Arch Architecture course?,The B.Arch Architecture starts on 2024-07-15 and ends on 2027-07-15.
Course Data,UG,UG-8E17D7,B.Arch Architecture,What are the modules present in the B.Arch Architecture course?,Modules: Introduction; Core Concepts; Electives; Project Work; Seminar.
Course Data,UG,UG-8E17D7,B.Arch Architecture,What is the course id of the B.Arch Architecture course?,The course id for B.Arch Architecture is UG-8E17D7.
Course Data,UG,UG-8E17D7,B.Arch Architecture,Who is the course instructor for the B.Arch Architecture course?,The B.Arch Architecture course is taught by Prof. H. Kim.
Course Data,UG,UG-8E17D7,B.Arch Architecture,"The course B.Arch Architecture comes under which type: UG, Masters, or PhD?",B.Arch Architecture is a UG level course.
Admission Data,UG,UG-8E17D7,B.Arch Architecture,How do I apply for the B.Arch Architecture course?,"To apply for B.Arch Architecture, fill the online application form, upload required documents, and pay the application fee. Further steps may include interview or entrance test."
Course Data,UG,UG-8E17D7,B.Arch Architecture,Is the B.Arch Architecture course offered full-time or part-time?,The B.Arch Architecture is typically offered full-time; part-time options depend on department policy.
Admission Data,UG,UG-03882C,B.Sc Environmental Science,What documents are required to apply for the B.Sc Environmental Science course?,Documents required: 10th and 12th mark sheets; Degree certificates (if applicable); Transcripts; Passport-size photos; Valid ID proof (Aadhaar/Passport).
Fees Data,UG,UG-03882C,B.Sc Environmental Science,What is the fee for the B.Sc Environmental Science course?,The fee for B.Sc Environmental Science is GBP 14817 per year.
Course Data,UG,UG-03882C,B.Sc Environmental Science,What is the start date and end date for the B.Sc Environmental Science course?,The B.Sc Environmental Science starts on 2024-09-15 and ends on 2027-09-15.
Course Data,UG,UG-03882C,B.Sc Environmental Science,What are the modules present in the B.Sc Environmental Science course?,Modules: Introduction; Core Concepts; Electives; Project Work; Seminar.
Course Data,UG,UG-03882C,B.Sc Environmental Science,What is the course id of the B.Sc Environmental Science course?,The course id for B.Sc Environmental Science is UG-03882C.
Course Data,UG,UG-03882C,B.Sc Environmental Science,Who is the course instructor for the B.Sc Environmental Science course?,The B.Sc Environmental Science course is taught by Dr. Y. Zhao.
Course Data,UG,UG-03882C,B.Sc Environmental Science,"The course B.Sc Environmental Science comes under which type: UG, Masters, or PhD?",B.Sc Environmental Science is a UG level course.
Admission Data,UG,UG-03882C,B.Sc Environmental Science,How do I apply for the B.Sc Environmental Science course?,"To apply for B.Sc Environmental Science, fill the online application form, upload required documents, and pay the application fee. Further steps may include interview or entrance test."
Course Data,UG,UG-03882C,B.Sc Environmental Science,Is the B.Sc Environmental Science course offered full-time or part-time?,The B.Sc Environmental Science is typically offered full-time; part-time options depend on department policy.
Admission Data,UG,UG-7C90E8,B.Sc Information Technology,What documents are required to apply for the B.Sc Information Technology course?,Documents required: 10th and 12th mark sheets; Degree certificates (if applicable); Transcripts; Passport-size photos; Valid ID proof (Aadhaar/Passport).
Fees Data,UG,UG-7C90E8,B.Sc Information Technology,What is the fee for the B.Sc Information Technology course?,The fee for B.Sc Information Technology is GBP 12355 per year.
Course Data,UG,UG-7C90E8,B.Sc Information Technology,What is the start date and end date for the B.Sc Information Technology course?,The B.Sc Information Technology starts on 2024-09-15 and ends on 2027-09-15.
Course Data,UG,UG-7C90E8,B.Sc Information Technology,What are the modules present in the B.Sc Information Technology course?,Modules: Introduction; Core Concepts; Electives; Project Work; Seminar.
Course Data,UG,UG-7C90E8,B.Sc Information Technology,What is the course id of the B.Sc Information Technology course?,The course id for B.Sc Information Technology is UG-7C90E8.
Course Data,UG,UG-7C90E8,B.Sc Information Technology,Who is the course instructor for the B.Sc Information Technology course?,The B.Sc Information Technology course is taught by Prof. J. Das.
Course Data,UG,UG-7C90E8,B.Sc Information Technology,"The course B.Sc Information Technology comes under which type: UG, Masters, or PhD?",B.Sc Information Technology is a UG level course.
Admission Data,UG,UG-7C90E8,B.Sc Information Technology,How do I apply for the B.Sc Information Technology course?,"To apply for B.Sc Information Technology, fill the online application form, upload required documents, and pay the application fee. Further steps may include interview or entrance test."
Course Data,UG,UG-7C90E8,B.Sc Information Technology,Is the B.Sc Information Technology course offered full-time or part-time?,The B.Sc Information Technology is typically offered full-time; part-time options depend on department policy.
Admission Data,UG,UG-FF58BD,B.Pharm Pharmaceutical Sciences,What documents are required to apply for the B.Pharm Pharmaceutical Sciences course?,Documents required: 10th and 12th mark sheets; Degree certificates (if applicable); Transcripts; Passport-size photos; Valid ID proof (Aadhaar/Passport).
Fees Data,UG,UG-FF58BD,B.Pharm Pharmaceutical Sciences,What is the fee for the B.Pharm Pharmaceutical Sciences course?,The fee for B.Pharm Pharmaceutical Sciences is GBP 13022 per year.
Course Data,UG,UG-FF58BD,B.Pharm Pharmaceutical Sciences,What is the start date and end date for the B.Pharm Pharmaceutical Sciences course?,The B.Pharm Pharmaceutical Sciences starts on 2024-08-01 and ends on 2027-08-01.
Course Data,UG,UG-FF58BD,B.Pharm Pharmaceutical Sciences,What are the modules present in the B.Pharm Pharmaceutical Sciences course?,Modules: Molecular Biology; Genetics; Bioprocess Engineering; Bioinformatics; Cell Biology.
Course Data,UG,UG-FF58BD,B.Pharm Pharmaceutical Sciences,What is the course id of the B.Pharm Pharmaceutical Sciences course?,The course id for B.Pharm Pharmaceutical Sciences is UG-FF58BD.
Course Data,UG,UG-FF58BD,B.Pharm Pharmaceutical Sciences,Who is the course instructor for the B.Pharm Pharmaceutical Sciences course?,The B.Pharm Pharmaceutical Sciences course is taught by Prof. J. Das.
Course Data,UG,UG-FF58BD,B.Pharm Pharmaceutical Sciences,"The course B.Pharm Pharmaceutical Sciences comes under which type: UG, Masters, or PhD?",B.Pharm Pharmaceutical Sciences is a UG level course.
Admission Data,UG,UG-FF58BD,B.Pharm Pharmaceutical Sciences,How do I apply for the B.Pharm Pharmaceutical Sciences course?,"To apply for B.Pharm Pharmaceutical Sciences, fill the online application form, upload required documents, and pay the application fee. Further steps may include interview or entrance test."
Course Data,UG,UG-FF58BD,B.Pharm Pharmaceutical Sciences,Is the B.Pharm Pharmaceutical Sciences course offered full-time or part-time?,The B.Pharm Pharmaceutical Sciences is typically offered full-time; part-time options depend on department policy.
Admission Data,UG,UG-CDCC5E,B.Sc Mathematics,What documents are required to apply for the B.Sc Mathematics course?,Documents required: 10th and 12th mark sheets; Degree certificates (if applicable); Transcripts; Passport-size photos; Valid ID proof (Aadhaar/Passport).
Fees Data,UG,UG-CDCC5E,B.Sc Mathematics,What is the fee for the B.Sc Mathematics course?,The fee for B.Sc Mathematics is GBP 14401 per year.
Course Data,UG,UG-CDCC5E,B.Sc Mathematics,What is the start date and end date for the B.Sc Mathematics course?,The B.Sc Mathematics starts on 2024-09-15 and ends on 2027-09-15.
Course Data,UG,UG-CDCC5E,B.Sc Mathematics,What are the modules present in the B.Sc Mathematics course?,Modules: Calculus; Linear Algebra; Probability & Statistics; Numerical Methods; Differential Equations.
Course Data,UG,UG-CDCC5E,B.Sc Mathematics,What is the course id of the B.Sc Mathematics course?,The course id for B.Sc Mathematics is UG-CDCC5E.
Course Data,UG,UG-CDCC5E,B.Sc Mathematics,Who is the course instructor for the B.Sc Mathematics course?,The B.Sc Mathematics course is taught by Dr. T. Mehta.
Course Data,UG,UG-CDCC5E,B.Sc Mathematics,"The course B.Sc Mathematics comes under which type: UG, Masters, or PhD?",B.Sc Mathematics is a UG level course.
Admission Data,UG,UG-CDCC5E,B.Sc Mathematics,How do I apply for the B.Sc Mathematics course?,"To apply for B.Sc Mathematics, fill the online application form, upload required documents, and pay the application fee. Further steps may include interview or entrance test."
Course Data,UG,UG-CDCC5E,B.Sc Mathematics,Is the B.Sc Mathematics course offered full-time or part-time?,The B.Sc Mathematics is typically offered full-time; part-time options depend on department policy.
Admission Data,Masters,MS-E7B179,M.Tech Computer Science,What documents are required to apply for the M.Tech Computer Science course?,Documents required: 10th and 12th mark sheets; Degree certificates (if applicable); Transcripts; Passport-size photos; Valid ID proof (Aadhaar/Passport); Undergraduate degree certificate.
Fees Data,Masters,MS-E7B179,M.Tech Computer Science,What is the fee for the M.Tech Computer Science course?,The fee for M.Tech Computer Science is GBP 16593 per year.
Course Data,Masters,MS-E7B179,M.Tech Computer Science,What is the start date and end date for the M.Tech Computer Science course?,The M.Tech Computer Science starts on 2024-09-01 and ends on 2026-09-01.
Course Data,Masters,MS-E7B179,M.Tech Computer Science,What are the modules present in the M.Tech Computer Science course?,Modules: Programming Fundamentals; Data Structures and Algorithms; Databases; Operating Systems; Computer Networks; Software Engineering; Research Methods; Industry Project.
Course Data,Masters,MS-E7B179,M.Tech Computer Science,What is the course id of the M.Tech Computer Science course?,The course id for M.Tech Computer Science is MS-E7B179.
Course Data,Masters,MS-E7B179,M.Tech Computer Science,Who is the course instructor for the M.Tech Computer Science course?,The M.Tech Computer Science course is taught by Dr. A. Kumar.
Course Data,Masters,MS-E7B179,M.Tech Computer Science,"The course M.Tech Computer Science comes under which type: UG, Masters, or PhD?",M.Tech Computer Science is a Masters level course.
Admission Data,Masters,MS-E7B179,M.Tech Computer Science,How do I apply for the M.Tech Computer Science course?,"To apply for M.Tech Computer Science, fill the online application form, upload required documents, and pay the application fee. Further steps may include interview or entrance test."
Course Data,Masters,MS-E7B179,M.Tech Computer Science,Is the M.Tech Computer Science course offered full-time or part-time?,The M.Tech Computer Science is typically offered full-time; part-time options depend on department policy.
Admission Data,Masters,MS-64C05B,M.Tech Mechanical Engineering,What documents are required to apply for the M.Tech Mechanical Engineering course?,Documents required: 10th and 12th mark sheets; Degree certificates (if applicable); Transcripts; Passport-size photos; Valid ID proof (Aadhaar/Passport); Undergraduate degree certificate.
Fees Data,Masters,MS-64C05B,M.Tech Mechanical Engineering,What is the fee for the M.Tech Mechanical Engineering course?,The fee for M.Tech Mechanical Engineering is GBP 17417 per year.
Course Data,Masters,MS-64C05B,M.Tech Mechanical Engineering,What is the start date and end date for the M.Tech Mechanical Engineering course?,The M.Tech Mechanical Engineering starts on 2024-07-15 and ends on 2026-07-15.
Course Data,Masters,MS-64C05B,M.Tech Mechanical Engineering,What are the modules present in the M.Tech Mechanical Engineering course?,Modules: Engineering Mechanics; Thermodynamics; Machine Design; Fluid Mechanics; Manufacturing Processes.
Course Data,Masters,MS-64C05B,M.Tech Mechanical Engineering,What is the course id of the M.Tech Mechanical Engineering course?,The course id for M.Tech Mechanical Engineering is MS-64C05B.
Course Data,Masters,MS-64C05B,M.Tech Mechanical Engineering,Who is the course instructor for the M.Tech Mechanical Engineering course?,The M.Tech Mechanical Engineering course is taught by Prof. S. Sharma.
Course Data,Masters,MS-64C05B,M.Tech Mechanical Engineering,"The course M.Tech Mechanical Engineering comes under which type: UG, Masters, or PhD?",M.Tech Mechanical Engineering is a Masters level course.
Admission Data,Masters,MS-64C05B,M.Tech Mechanical Engineering,How do I apply for the M.Tech Mechanical Engineering course?,"To apply for M.Tech Mechanical Engineering, fill the online application form, upload required documents, and pay the application fee. Further steps may include interview or entrance test."
Course Data,Masters,MS-64C05B,M.Tech Mechanical Engineering,Is the M.Tech Mechanical Engineering course offered full-time or part-time?,The M.Tech Mechanical Engineering is typically offered full-time; part-time options depend on department policy.
Admission Data,Masters,MS-5010DC,M.Sc Data Science,What documents are required to apply for the M.Sc Data Science course?,Documents required: 10th and 12th mark sheets; Degree certificates (if applicable); Transcripts; Passport-size photos; Valid ID proof (Aadhaar/Passport); Undergraduate degree certificate.
Fees Data,Masters,MS-5010DC,M.Sc Data Science,What is the fee for the M.Sc Data Science course?,The fee for M.Sc Data Science is GBP 19006 per year.
Course Data,Masters,MS-5010DC,M.Sc Data Science,What is the start date and end date for the M.Sc Data Science course?,The M.Sc Data Science starts on 2024-07-01 and ends on 2026-07-01.
Course Data,Masters,MS-5010DC,M.Sc Data Science,What are the modules present in the M.Sc Data Science course?,Modules: Programming Fundamentals; Data Structures and Algorithms; Databases; Operating Systems; Computer Networks; Software Engineering.
Course Data,Masters,MS-5010DC,M.Sc Data Science,What is the course id of the M.Sc Data Science course?,The course id for M.Sc Data Science is MS-5010DC.
